,職稱,更新日期,薪資待遇,公司名稱,工作性質,公司地址
595,資料科學家 (Data Scientist)-高雄(Kaohsiung) ,11/17,待遇面議,華翰物產實業股份有限公司,全職,高雄市新興區青年一路156號
596,資訊工程師 ,11/06,待遇面議,天氣風險管理開發股份有限公司,全職,台北市中山區南京東路三段131號6樓
597,駐點系統工程師 ,11/10,待遇面議,華碩雲端股份有限公司,全職,台南市新市區南部科學工業園區
598,TQA測試工程師 ,11/12,待遇面議,翰霖科技資訊股份有限公司,全職,台北市信義區
599,資訊工程師 ,11/06,待遇面議,天氣風險管理開發股份有限公司,全職,台北市中山區南京東路三段131號6樓
600,軟體自動化測試工程師 ,11/13,"月薪70,000~150,000元",創樂科技有限公司,全職,台北市內湖區陽光街300號
601,後端工程師 Backend Engineer ,11/15,"月薪60,000~90,000元",iCHEF_資廚管理顧問股份有限公司,全職,台北市大安區仁愛路三段136號15樓
602,軟體測試工程師(自動化) ,11/16,待遇面議,馬來西亞商極限電腦科技有限公司台灣分公司,全職,台中市西屯區文心路二段201號
603,【全球智慧製造】DevOps Engineer/SRE_新店 ,10/19,待遇面議,GARMIN_台灣國際航電股份有限公司,全職,新北市新店區
604,系統整合開發工程師 ,11/13,待遇面議,業泓科技股份有限公司,全職,台中市后里區后科南路2號
605,測試軟體開發工程師(I6) ,11/15,待遇面議,聯詠科技股份有限公司,全職,新竹縣寶山鄉創新一路13號
606,Business & Financial Analyst (FIN) ,11/15,待遇面議,新加坡商安富利股份有限公司台灣分公司,全職,台北市南港區園區街3號5樓
607,風險管理處-財務工程人員(年後上班可) ,11/15,待遇面議,永豐商業銀行股份有限公司,全職,台北市中山區八德路二段306號
608,DV(Design Verification)工程師 ,11/02,待遇面議,瑞鼎科技股份有限公司,全職,台南市中西區民生路二段307號10樓
609,113年度研發替代役-後端與前端工程師 ,11/17,待遇面議,聯華電信股份有限公司,全職,台北市內湖區舊宗路2段105號4樓
610,【智慧製造發展中心】大數據平台開發工程師/顧問 (南科育成中心) ,11/13,待遇面議,台灣恩悌悌數據股份有限公司,全職,台南市新市區南科二路12號
611,【GAI菁英專區】工研院資通所_機械手臂影像生成AI工程師(W403) ,11/13,待遇面議,工研院 _財團法人工業技術研究院,全職,新竹縣竹東鎮
612,PA1471 軟體工程師/高級工程師(內湖) ,07/25,"月薪36,000~60,000元",仁寶電腦工業股份有限公司,全職,台北市內湖區瑞光路581號(114)
613,軟體自動化測試工程師 ,11/17,"月薪45,000~80,000元",宇迅國際有限公司,全職,台北市中山區捷運松江南京站附近
614,"【數位驅動】資料科學分析師-數據分析(數數發中心,DDT) ",11/17,待遇面議,國泰世華商業銀行股份有限公司_人力資源部,全職,台北市信義區
615,自動化測試(高級)工程師 (23006P) ,11/06,待遇面議,四零四科技股份有限公司,全職,新北市新莊區新北大道四段3號13樓
616,資料科學家 ,11/13,待遇面議,緯來電視網股份有限公司,全職,台北市內湖區瑞光路480號3樓
617,助理工程師 ,11/16,"月薪30,000元以上",詮源資訊股份有限公司,全職,高雄市小港區
618,61311-後端軟體工程師(台北) ,11/16,待遇面議,QNAP_威聯通科技股份有限公司,全職,台北市大安區新生南路一段111號
619,EDA/CAD資訊工程師 ,11/01,待遇面議,Phison Electronics Corp_群聯電子股份有限公司,全職,苗栗縣竹南鎮群義路1號
620,智能製造資深體軟件工程師(海外派駐) ,11/14,待遇面議,台達電子工業股份有限公司 _DELTA ELECTRONICS INC.,全職,亞洲其他瑞光路186號(台南)(桃園)(中壢)
621,資深數據分析師 Senior Data Analyst ,11/14,待遇面議,Gogolook_走著瞧股份有限公司,全職,台北市中正區羅斯福路2段
622,*AI人工智慧研發工程師H【產業高階人才培訓計畫_博士類】 ,11/14,待遇面議,均豪精密工業股份有限公司,全職,新竹市創新一路5-1號
623,IT資訊類: Business Apps Dev/Sppt (工作地點: 台北 & 新竹) ,10/16,待遇面議,"Synopsys Taiwan Co., Ltd._台灣新思科技股份有限公司",全職,新竹市
624,Data Scientist ,10/24,待遇面議,台灣萊雅股份有限公司,全職,台北市信義區信義路5段7號22樓(台北101金融大樓)
625,系統客服工程師 ,06/04,"月薪35,000~60,000元",永鼎數位科技有限公司,全職,台中市西區台灣大道二段285號
626,Linux Kernel Expert - Canada ,11/07,待遇面議,美商Fortinet_英屬蓋曼群島商防特網股份有限公司台灣分公司,全職,加拿大
627,資訊助理 ,11/16,時薪176元,臺北市私立高偉文理短期補習班,兼職 - 長期工讀,台北市中正區北平東路30號3樓(善導寺捷運站)
628,【研究發展處】SWE / Software Engineer / 軟體工程師 ,11/15,待遇面議,現觀科技股份有限公司,全職,台北市中山區中山北路二段42號2樓
629,Corporate Actuarial 企業精算部-Data Engineer ,11/15,待遇面議,安聯人壽保險股份有限公司(總公司),全職,台北市信義區信義路五段100號7樓
630,軟體測試工程師 ,11/17,"月薪30,000~50,000元",禾碩資訊股份有限公司,全職,台中市西屯區市政北二路282號8樓之9
631,數據分析師 ,11/17,"月薪50,000元以上",華南商業銀行股份有限公司,全職,台北市信義區松仁路123號
632,全端工程師 ,11/17,待遇面議,翔安生醫科技股份有限公司,全職,台南市新市區南科三路23號4樓之1C室
633,AI Engineer / AI工程師_0311 ,11/15,待遇面議,遊戲橘子數位科技股份有限公司,全職,台北市內湖區瑞湖街111號
634,【風險管理】風險管理人員 ,11/17,待遇面議,群益金鼎證券股份有限公司,全職,台北市松山區民生東路三段156號12樓
635,[AI] 機器人工程師 / Robotics Engineer (士林) ,11/15,"月薪60,000~200,000元",Inventec_英業達股份有限公司,全職,台北市士林區承德路四段166號
636,PA1466 AI/AOI軟體開發工程師(內湖) ,06/28,"月薪35,000~60,000元",仁寶電腦工業股份有限公司,全職,台北市內湖區瑞光路581號(114)
637,軟體設計與驗證自動化工程師(台北/新竹) ,11/16,待遇面議,智微科技股份有限公司,全職,新竹縣寶山鄉創新一路13號1樓
