,職稱,更新日期,薪資待遇,公司名稱,工作性質,公司地址
553,BIOS 工程師 ,11/17,待遇面議,優達科技股份有限公司,全職,新北市新莊區建國一路300號10樓
554,軟體工程師 ,11/15,待遇面議,科傳服務股份有限公司,全職,苗栗縣竹南鎮獅山70號之20
555,Sr. APR Engineer(竹北) ,11/16,待遇面議,英屬蓋曼群島商譜瑞科技股份有限公司台灣分公司,全職,新竹縣竹北市台元一街6號2樓之3
556,工研院中分院_人工智慧工程師(0H300) ,11/15,待遇面議,工研院 _財團法人工業技術研究院,全職,新竹縣竹東鎮中興路四段195號
557,風險管理處-資產負債風險分析人員 ,11/15,待遇面議,永豐商業銀行股份有限公司,全職,台北市中山區八德路二段306號
558,【急徵】軟體設計工程師(鳳山) ,11/16,"月薪35,000~65,000元",正新自動化有限公司,全職,高雄市鳳山區三民路81號(距捷運大東站約352公尺)
559,程式工程師 ,11/06,"月薪42,000元以上",俊來金屬股份有限公司,全職,台中市南屯區台中市南屯區五權西路三段525號
560,AI研發工程師 ,11/13,待遇面議,太豪生醫股份有限公司,全職,台北市大安區復興南路二段285號
561,資訊工程師-TSD(高雄) ,11/13,"月薪35,000~50,000元",久和醫療儀器股份有限公司_承業生醫企業集團,全職,高雄市左營區自由四路486號
562,RD23004-LabVIEW開發工程師 LabVIEW Engineer ,09/01,待遇面議,英屬維京群島商祥茂光電科技股份有限公司台灣分公司,全職,新北市林口區工四路18號
563,【GAI菁英專區】工研院資通所_生成式AI (影像生成) 研發工程師(W102) ,11/13,待遇面議,工研院 _財團法人工業技術研究院,全職,新竹縣竹東鎮
564,AI工程師 ,11/15,待遇面議,關貿網路股份有限公司,全職,台北市南港區三重路19之13號6樓
565,DataOps 工程師 ,11/16,待遇面議,保克曼有限公司,全職,台北市內湖區洲子街105號5樓
566,系統工程師 ,11/17,待遇面議,"替您錄科技股份有限公司(TGC Taiwan, Inc.)",全職,台北市松山區八德路四段760號6樓
567,Server遊戲軟體工程師 ,11/16,"月薪30,000~60,000元",鈊象電子股份有限公司,全職,新北市五股區五工路130號
568,Golang服務端工程師(中/高階) ,11/13,待遇面議,帆達科技有限公司,全職,台北市信義區松高路
569,PB0542 AI機器學習設計主任(內湖) ,11/01,待遇面議,仁寶電腦工業股份有限公司,全職,台北市內湖區
570,全端工程師 ,10/11,"月薪55,000~90,000元",興創知能股份有限公司,全職,台北市松山區南京東路四段16號5樓A1室
571,Garena－Data Analyst 數據分析師 ,09/01,待遇面議,Garena_新加坡商競舞電競有限公司臺灣分公司,全職,台北市信義區松高路11號16樓
572,EC / MCU Firmware Engineer ,11/16,待遇面議,PHOENIX TECHNOLOGIES INC_美商費尼克斯有限公司台灣分公司,全職,台北市內湖區瑞湖街88號7樓
573,電商營運數據及電子商務經理/專員【BenQ整合行銷傳播中心】 ,11/17,待遇面議,明基電通股份有限公司,全職,台北市內湖區基湖路16號
574,【海外】機械學習算法工程師 ,11/15,待遇面議,健鼎科技股份有限公司,全職,其他亞洲
575,資深測試組長 ,11/16,待遇面議,禾向數位科技有限公司,全職,台北市松山區
576,軟體開發工程師（日本） ,11/10,"年薪800,000~2,700,000元",博彥科技有限公司,全職,日本
577,機器學習實習生 (Machine Learning Engineer Intern) _中部研發中心(虎尾) ,11/13,時薪176~250元,衛利生物科技股份有限公司,全職,雲林縣虎尾鎮文化路64號 創新育成中心 A08室
578,資料分析師 ,11/17,"月薪35,000~70,000元",微星科技股份有限公司,全職,新北市中和區立德街69號
579,《台北中山》資料工程師 ,11/17,"月薪42,000~90,000元",敦謙國際智能科技股份有限公司,全職,台北市中山區松江路253號
580,後端工程師 ,11/13,"月薪36,000~45,000元",安特庫資訊科技有限公司,全職,台北市大同區延平北路三段4號5樓
581,數位IC驗證工程師 (台南) ,11/01,待遇面議,Phison Electronics Corp_群聯電子股份有限公司,全職,台南市歸仁區歸仁十三路一段160號(陽明交通大學台南校區致遠樓)
582,自動控制研發工程師/主管 ,11/15,待遇面議,迅得機械股份有限公司,全職,桃園市中壢區榮民路421號
583,ERP數據開發工程師 ,11/09,待遇面議,大儀股份有限公司,全職,台北市中山區民權東路3段6號17F
584,AI系統應用工程師 ,11/10,待遇面議,嘉實資訊股份有限公司,全職,新北市新店區民權路52號6樓
585,數位科技處-數據工程師 ,11/15,待遇面議,永豐商業銀行股份有限公司,全職,台北市中山區八德路二段308號
586,Front-End Engineer 前端工程師 ,11/14,待遇面議,雲仲資訊股份有限公司,全職,新竹市東區新安路5號4樓之一 101室
587,JI 遊戲機率工程師-視訊面試 ,11/16,"月薪45,000~69,000元",尊博科技股份有限公司,全職,台中市西屯區工業38路210號6樓之3
588,程式設計員(數據分析專長) ,11/17,"月薪37,500元以上",台塑_臺灣塑膠工業股份有限公司,全職,台北市內湖區南京東路六段380號
589,研發類-AI Algorithm Engineer AI演算法工程師 ,11/15,待遇面議,中光電智能機器人股份有限公司,全職,新竹市力行路11號
590,DA 遊戲數據分析師 ,11/15,待遇面議,神來也麻將_慧邦科技股份有限公司,全職,台北市中正區羅斯福路二段100號10樓
591,QA軟體測試工程師 ,11/13,待遇面議,凱納股份有限公司,全職,台中市南屯區精科南路99號
592,MCU FIRMWARE設計工程師 ,11/17,待遇面議,意象無限股份有限公司,全職,新北市新店區中興路二段196號10樓
593,研發-資料科學研究員 ,11/15,待遇面議,達興材料股份有限公司,全職,台中市西屯區中部科學工業園區科園一路15號
594,【台北公司】MES開發工程師 ,11/15,"月薪54,000元以上",長春人造樹脂廠股份有限公司,全職,台北市中山區松江路301號7樓(104)
